1853	2007-02-12	8.83	9.28	8.83	9.28	523324	4.33	000001	深发展Ａ	SZ	8.84	4.13	
1860	2007-02-12	6.2	6.67	6.09	6.63	1395527	2.44	000002	万 科Ａ	SZ	6.27	2.3	
1797	2007-02-12	4.98	5.05	4.88	5.02	15730	5.02	000004	ST国农	SZ	4.94	4.94	
1468	2007-02-12	1.42	1.45	1.34	1.38	194016	0.35	000010	S ST华新	SZ	1.38	0.34	
1860	2007-02-12	6.12	6.35	6.05	6.28	23213	5.71	000011	深物业A	SZ	6.05	5.5	
1847	2007-02-12	7.48	8.06	7.44	8	61999	3.91	000012	南 玻Ａ	SZ	7.48	3.66	
1859	2007-02-12	5.41	5.65	5.33	5.64	125920	3.7	000014	沙河股份	SZ	5.39	3.53	
1858	2007-02-12	2.57	2.62	2.57	2.61	134028	1.25	000016	深康佳Ａ	SZ	2.56	1.23	
1860	2007-02-12	6.88	6.88	6.66	6.78	16545	6.78	000018	ST中冠A	SZ	6.78	6.78	
1796	2007-02-12	7.1	7.18	7.01	7.15	10295	6.97	000019	深深宝Ａ	SZ	7.1	6.92	
1847	2007-02-12	8.5	8.79	8.48	8.67	85585	4.93	000021	长城开发	SZ	8.47	4.82	
1860	2007-02-12	20.37	20.63	20.18	20.52	18889	16.66	000022	深赤湾Ａ	SZ	20.38	16.55	
1860	2007-02-12	14.33	15.41	14.33	15.33	58452	9.32	000024	招商地产	SZ	14.43	8.77	
1860	2007-02-12	4.45	4.63	4.4	4.57	31606	4.57	000025	特 力Ａ	SZ	4.46	4.46	
1860	2007-02-12	6.56	6.64	6.31	6.5	50157	4.34	000026	飞亚达Ａ	SZ	6.55	4.37	
1856	2007-02-12	8.66	8.96	8.58	8.75	218916	6.36	000027	深圳能源	SZ	8.66	6.29	
1835	2007-02-12	9.85	10.2	9.73	10.07	19299	9.78	000028	一致药业	SZ	9.79	9.5	
1831	2007-02-12	5.63	5.93	5.56	5.88	141214	5.88	000029	深深房Ａ	SZ	5.68	5.68	
1860	2007-02-12	5.7	6.75	5.7	6.3	926423	3.06	000031	中粮地产	SZ	6.32	3.07	
1859	2007-02-12	5.2	5.33	5.17	5.32	38668	4.1	000032	深桑达Ａ	SZ	5.22	4.02	
1854	2007-02-12	4.36	4.54	4.3	4.49	70071	4.49	000033	新都酒店	SZ	4.38	4.38	
1655	2007-02-12	2.82	2.83	2.64	2.83	35924	1.82	000034	ST深泰	SZ	2.69	1.73	
1851	2007-02-12	2.31	2.31	2.31	2.31	8881	1.83	000035	*ST科健	SZ	2.2	1.75	
1861	2007-02-12	5.73	5.95	5.7	5.88	271867	5.88	000036	华联控股	SZ	5.75	5.75	
1854	2007-02-12	6.62	6.63	6.44	6.57	30276	5.94	000037	深南电Ａ	SZ	6.56	5.93	
1859	2007-02-12	18.92	19.59	18.82	19.59	135629	14.18	000039	中集集团	SZ	19	13.75	
1804	2007-02-12	3.75	3.82	3.72	3.79	66843	3.73	000040	深 鸿 基	SZ	3.76	3.7	
1813	2007-02-12	1.76	1.79	1.75	1.76	828332	0.84	000100	TCL 集团	SZ	1.76	0.83	
1860	2007-02-12	5.51	5.75	5.46	5.75	39832	5.75	000150	宜华地产	SZ	5.48	5.48	
1859	2007-02-12	6.45	6.49	6.26	6.42	69204	6.11	000151	中成股份	SZ	6.45	6.14	
1861	2007-02-12	4.09	4.12	4.02	4.08	62980	4.04	000153	丰原药业	SZ	4.05	4.01	
1860	2007-02-12	5.91	6.23	5.79	6.16	179298	5.81	000155	川化股份	SZ	6.2	5.84	
1845	2007-02-12	2.05	2.14	2.05	2.11	515955	0.17	000157	中联重科	SZ	2.06	0.16	
1838	2007-02-12	3.4	3.58	3.4	3.55	101857	2.44	000158	常山股份	SZ	3.4	2.34	
1818	2007-02-12	2.44	2.54	2.4	2.53	91832	1.18	000159	国际实业	SZ	2.41	1.13	
1858	2007-02-12	4.67	4.73	4.63	4.71	273129	4.4	000301	东方市场	SZ	4.65	4.35	
1860	2007-02-12	9.98	10.31	9.98	10.1	70157	7.57	000400	许继电气	SZ	9.98	7.47	
1858	2007-02-12	6.08	6.3	6.01	6.22	82921	6.03	000401	冀东水泥	SZ	6.08	5.89	
